Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2024-03-14,70967.8046875,71158.83511734522,70299.19818304172,71063.3199024226,22545539
2024-03-15,69057.515625,70394.72892894191,69057.515625,70108.18322095435,22580555
2024-03-18,69535.0859375,69726.11639337226,69248.54025369162,69344.05548162776,11520348
2024-03-19,69535.0859375,69726.11639337226,68484.41843020261,69057.50979781937,15376066
2024-03-20,73451.203125,73737.74878088427,70108.1704730169,70394.71612890117,50106297
2024-03-21,75743.5625,75743.5625,74215.31912042874,75648.0472887768,44569799
2024-03-22,75361.5078125,76316.6600027725,74310.84040320026,76030.11434569074,26724761
2024-03-25,74692.890625,76221.13391144501,74310.82980338874,76030.10350063938,18703996
2024-03-26,76316.6484375,76507.67884660512,75648.04200563203,76125.61802839486,30551494
2024-03-27,76221.1484375,76412.17888471177,75648.05709586466,75648.05709586466,17424595
2024-03-28,77527.0078125,77718.90634668936,75991.81953898515,76183.7180731745,25084812
2024-03-29,79062.203125,79158.15240063713,77622.96399044296,77910.81181735436,27126366
2024-04-01,78678.40625,79925.74683689025,78678.40625,79829.79756097561,20116513
2024-04-02,81556.8828125,81556.8828125,79541.94806066177,79541.94806066177,37077944
2024-04-03,80693.34375,81556.88726218787,80117.64807520808,80885.24230826397,30493347
2024-04-04,81844.734375,82036.63293156507,80885.24159217467,81748.78509671746,25248934
2024-04-05,81077.1328125,81556.87916050295,80405.48792529585,81077.1328125,18883752
2024-04-08,81077.1328125,82516.37185650888,81077.1328125,81748.77769970414,18953232
2024-04-09,80213.59375,81460.93432266747,79733.84737589712,81077.13722338516,23725956
2024-04-11,80693.34375,81269.03942479192,79158.15528388823,79829.80023781213,25538009
2024-04-12,80309.5390625,81460.93030353943,79829.7927120669,81269.03176336619,17061770
2024-04-15,78870.2890625,79829.78163017031,77910.79649482969,79541.93385986923,26663772
2024-04-16,76759.421875,78006.76248046875,76183.7262109375,77910.813203125,31949845
2024-04-17,75703.96875,77527.0047528517,75703.96875,77431.05548954372,22611631
2024-04-18,76375.6171875,76855.36352661747,75128.2767057946,75608.02304491207,21370190
2024-04-19,74456.65625,75512.0985422036,73209.31535921391,75128.30134503866,31317563
2024-04-22,73017.390625,74360.68033426412,72057.89797552563,74264.7310693167,30469477
2024-04-23,72441.6953125,73689.0357615894,72441.6953125,73305.23870033112,18717699
2024-04-24,75416.1171875,75608.01570451654,74072.82756838422,74360.67534390904,22166150
2024-04-25,73209.296875,74360.68817578637,73209.296875,74168.7896256553,15549134
2024-04-26,73593.1015625,74744.49298199153,73401.20299258475,74648.5436970339,12755629
2024-04-29,73593.1015625,74456.64512711865,73113.35513771187,74264.7465572034,14664474
2024-04-30,74360.6875,75320.18024193548,73497.14403225806,73880.94112903226,19007007
2024-05-02,74840.4296875,75416.12530048077,74168.78480568911,74456.63261217948,18900640
2024-05-03,74456.65625,75799.94644007731,74360.70695070876,75799.94644007731,13151889
2024-05-07,78006.7578125,78006.7578125,76183.72165206027,76375.62019526446,26238868
